modulo_id,enunciado,opciones,respuesta_correcta
6,"¿Cómo se dice 'Si hace buen tiempo, iremos al monte'?","[""Eguraldia ona bada"",""mendira joango gara"",""Eguraldia ona zenuen""]",0
7,"Zer esan nahi du 'Gu ikasleak gara'?","[""Ellos son estudiantes"",""Nosotros somos estudiantes"",""Vosotros sois estudiantes""]",1
7,"'Niri musika gustatzen zait'. Zer da 'niri' esaldian?","[""Sujeto (NOR)"",""Dativo (NORI)"",""Complemento directo (NORK)""]",1
7,"Nola esaten da 'Ayer fui a Bilbao' euskaraz?","[""Atzo Bilbora joan nintzen"",""Atzo Bilbon joaten naiz"",""Atzo Bilbotik joango naiz""]",0
7,"Zer esan nahi du 'Bihar'?","[""Ayer"",""Hoy"",""Mañana""]",2
7,"'Kafea hartzen dut' eta 'Kafea hartu dut'. Zein da aldea?","[""'Hartzen dut' es habitual"",""'hartu dut' es pasado reciente"",""No hay diferencia""]",0
7,"Zer da 'Jatetxea' gaztelaniaz?","[""La casa"",""El restaurante"",""La tienda""]",1
7,"Nola osatzen da esaldi hau: 'Eguraldia ona _____, mendira joango gara'?","[""bada"",""bazen"",""balitz""]",0
7,"Zer esan nahi du 'Beraz'?","[""Además"",""Sin embargo"",""Por lo tanto""]",2
7,"'Nik liburua irakurriko dut'. Zein denbora da?","[""Pasado"",""Presente"",""Futuro""]",2
7,"Nola esaten da 'Quiero comer' euskaraz?","[""Jan behar dut"",""Jan nahi dut"",""Jango naiz""]",1
8,"Zer esan nahi du 'Ez naiz etorri gaixorik nengoelako'?","[""No he venido porque estaba enfermo/a"",""He venido aunque estaba enfermo/a"",""No vendré porque estoy enfermo/a""]",0
8,"'Eskolara noa ikasteko'. Zer adierazten du '-TZEKO'?","[""Causa (porque)"",""Finalidad (para)"",""Tiempo (cuando)""]",1
8,"Nola esaten da 'Muchas gracias' euskaraz?","[""Mesedez"",""Ez horregatik"",""Eskerrik asko""]",2
8,"Zer esan nahi du 'Txikia nintzenean, Bilbon bizi nintzen'?","[""Cuando era pequeño/a, vivía en Bilbao"",""Cuando sea mayor, viviré en Bilbao"",""Si fuera pequeño/a, viviría en Bilbao""]",0
8,"Nola esaten da 'No entiendo' euskaraz?","[""Ulertzen dut"",""Ez dut ulertzen"",""Ulertuko dut""]",1
8,"Zer da '-ARREN' atzizkiaren esanahia?","[""Porque"",""Para"",""Aunque""]",2
8,"'Dirua behar dut bidaiatzeko'. Zer esan nahi du?","[""Tengo dinero para viajar"",""Necesito dinero para viajar"",""Quiero dinero del viaje""]",1
8,"Nola esaten da '¿Puede repetir, por favor?'?","[""Poliki-poliki, mesedez"",""Errepika dezakezu, mesedez?"",""Ulertzen duzu, mesedez?""]",1
8,"'Zaila den arren, saiatzen naiz'. Zer esan nahi du?","[""Es difícil, por eso no lo intento"",""Aunque es difícil, lo intento"",""Porque es difícil, lo intento""]",1
8,"Nola esaten da '¡Hasta luego!' euskaraz?","[""Bihar arte!"",""Agur!"",""Gero arte!""]",2
